cacophonous||[kæ`kɑfənəs, kə-; kæˋkɒfənəs]|||ca.coph.o.nous<br>[kæ`kɑfənəs, kə-; kæˋkɒfənəs]<br>形容词<br>声音不和谐的; 刺耳的 <br> 想 卡壳的声音 不和谐的 <br> n. cacophony
circumlocution|[sound:d1763a94515a8cefe88c457c7274357e.mp3]|/ˌsɜːrkəmləˈkjuːʃn/|<img src="ccc98e0c31ab5cca10679aad08a5cca0.jpg"></img>|His <b>circumlocution</b>s are so frustrating. Why doesn't he just say what he means?!|n. 婉转曲折的说法，累赘的陈述，遁辞<br>circum 绕圈 <br>loc/log/logu = speak
loquacious|[sound:17af5b7872badb9b2db874902967bf73.mp3]|/ləˈkweɪʃəs/|<img src="b770145984621bb6604954c0d6e6cc42.jpg"></img>|He's in a very <b>loquacious</b> mood today. Won't he ever shut up?!|adj. 多话的；饶舌的；冗长的；（水）潺潺不息的<br>loc/log/logu = speak <br> -acious ...多的
obloquy|[sound:5bac08795bc057d14a46021d79e26e62.mp3]|/ˈɑːbləkwi/|<img src="c6bfc527cb76e63fd35b3303da8316e7.jpg"></img>|Their <b>obloquy</b> made the girl feel bad about herself.|n. 毁谤；耻辱；漫骂<br> ob- 加强/相反
colloquy||[`kɑləkwI; ˋkɒləkwi]|||col.lo.quy<br>[`kɑləkwI; ˋkɒləkwi]<br>《源自拉丁文“谈话,会谈”的意思》<br>可数名词<br>(文语) (正式的) 对话,会谈<br>loc/log/logu = speak <br> co- 一起
soliloquy|[sound:da0915905c3884a74c904902da9a5dd0.mp3]|/səˈlɪləkwi/|<img src="04f455bd548841b10128fe1d780a2d9a.jpg"></img>|Tragically, no-one heard her heart-rending <b>soliloquy</b>.|n. 自言自语，独白<br>loc/log/logu = speak <br> soli 一个的
eloquent|[sound:80bc4802a99b6a3afd0af904797cf398.mp3]|/ˈeləkwənt/|<img src="2fcda3210a923a65d086e6d36e068edd.jpg"></img>|He was an <b>eloquent</b> speaker; His sentences were so beautifully phrased.|adj. 雄辩的，演说动人的<br>loc/log/logu = speak <br>e- 向外
interlocution||[ˌIntLlə`kjuʃən; ˌintələˋkju:ʃn]|||in.ter.lo.cu.tion<br>[ˌIntLlə`kjuʃən; ˌintələˋkju:ʃn]<br>名词<br>对话,问答 (dialogue)<br>loc/log/logu = speak <br>inter 相互间
eulogy|[sound:db7cf1de309931a3fb91b26f420e68fe.mp3]|/ˈjuːlədʒi/|<img src="d7b77b2f51589dcf55768e2949ae30be.jpg"></img>|His <b>eulogy</b> was read by the President.|n. 颂词，赞美词<br>loc/log/logu = speak <br> eu- good
clairvoyance|[sound:61c2474be89cfcd2fe4be0a812315a75.mp3]|[klZr`vɒIəns; klZəˋvɒiəns]|||clair.voy.ance<br>[klZr`vɒIəns; klZəˋvɒiəns]<br>《clairvoyant 的名词》<br>不可数名词<br>1 (对肉眼看不见之事物的) 透视力,千里眼<br>2 敏锐的透视力 [洞察力]<br>clear -> clair 清楚<br> vis -> voy 看<br>-ance n.
climate|[sound:0468552ac2af436e684c840433574883.mp3]|/ˈklaɪmət/|<img src="0328677d14bb1610fc0867feec0d7eb3.jpg"></img>|What kind of <b>climate</b> do you prefer in China?|n. 气候；（社会思想等）趋势
clement|[sound:1d7477576b374c368c88f0f80d8b82f0.mp3]|/ˈklemənt/|<img src="edcd63c79f1b2e686ed5ac5f013fc369.jpg"></img>|In <b>clement</b> weather she liked to spend as much time as possible outside.|adj. （天气）温和的<br>clim -> clem <br> climate 气候<br>-ent adj.
clemency||[`klZmənsI; ˋklєmənsi]|||clem.en.cy<br>[`klZmənsI; ˋklєmənsi]<br>《clement 的名词》<br>不可数名词<br>1 a. (尤指审判及处罚时所表现的) 宽容,仁慈<br>show ~ to a person<br>对人表示仁慈<br>b. 宽厚的对待<br>grant ~<br>宽厚处置,从宽处理<br>2 (气候的) 温和<br>clim -> clem <br> climate 气候
inclement|[sound:e6e922eb9fd6b57d896bacb3b3ef161a.mp3]|/ɪnˈklemənt/|<img src="160cc95417103a19ec59ae3352dba52c.jpg"></img>|<b>Inclement</b> weather meant we could not take our boat out.|adj. 险恶的；气候严酷的；狂风暴雨的<br>clim -> clem <br> climate 气候
cogitate|[sound:6fce604d967b34717c5d85ee373fb507.mp3]|/ˈkɑːdʒɪteɪt/|<img src="28f33554c46f06826c2149738546137d.jpg"></img>|After I got fired, I <b>cogitate</b>d deeply about what I should do with my life.|v. 慎重思考，思索<br>co + it 一起行动
deliberate|[sound:2d4c3ec0418924284a18ed4ffb74350f.mp3]|/dɪˈlɪb(ə)rət/|<img src="9c78faea72a04c5074d0fa2e14fb2a14.jpg"></img>|He would <b>deliberate</b> on his favorite.|vt. 慎重考虑 <br> de <br>liber  <- libra 天平
contemplate|[sound:ce330a46c70ef7b4cc6476ec907240aa.mp3]|/ˈkɑːntəmpleɪt/|<img src="66d19b3fe3c10dab8c60fac7ca14d9e4.jpg"></img>|I <b>contemplate</b> the meaning of life on the toilet.|v. 沉思，对…周密考虑，注视 <br> con <br> temp <-temple 太阳穴，庙 <br> 想 整天在庙里想
ruminate|[sound:a76dd142397e9cf43d50cb8065daad4a.mp3]|/ˈruːmɪneɪt/|<img src="b77ddfd3ad5814f3893842c29fb79603.jpg"></img>|I <b>ruminate</b>d on the strange news I had heard about my family history.|v. 反刍，再嚼，深思 <br>想 ru min 想入迷
ponder|[sound:7bef0a09bd1afda16fe802eeb8cdb039.mp3]|/ˈpɒndər/|<img src="0c01b598324b14740e0eda0374717a9c.jpg"></img>|The commander is <b>ponder</b>ing on how to defeat the monsters.|v. 仔细考虑，沉思 <br> pond <-pound 磅 <br> -er 反复 <br>在称上反复掂量
colt|[sound:27eb47e54fe80e399d82165a5b92a5c7.mp3]|/koʊlt/|<img src="59f8255f73b88caec5d55dd636eece30.jpg"></img>|The horse gave birth to a beautiful <b>colt</b>.|n. 小马，生手；  v. 以笞绳鞭打 <br>小马生出来会叫 call
jolt|[sound:53a3f247a3823f32e07737556c10d153.mp3]|/dʒoʊlt/|<img src="be3eca388d8f5150b3a55d7544bf81a5.jpg"></img>|The boy suffered a <b>jolt</b> of electricity.|v. （使）颠簸，摇晃；使震惊；  n. 摇晃，震惊，猛的一击 <br> j 想成 journey旅行 <br>旅途会颠簸
molt|[sound:b3cc0351712d952aa0d0eb585f7153ad.mp3]|/moʊlt/|<img src="f224e0d155109fd01731c9a5a9f4a068.jpg"></img>|The chickens are <b>molt</b>ing so there are feathers everywhere.|v. 脱毛，换毛；  n. 换羽期，脱毛期 <br> m 想 mao
dolt|[sound:3da85faca6b1b4da3f88b721d37e6165.mp3]|/doʊlt/|<img src="7d31230645012df5863ddc968201c7ed.jpg"></img>|Who gave that <b>dolt</b> a grenade? He'll kill us all!|n. 笨蛋，傻瓜 <br> dull 呆滞的 -> dolt
coltish|[sound:463a048508e9edcb68cb7b14e01cd127.mp3]|/ˈkoʊltɪʃ/|<img src="97d2f7cf673ee5f116238ec3f270ca39.jpg"></img>|I'm feeling <b>coltish</b> today, so I think I'll play around in a tree.|adj. 放浪不拘的，似小马的<br>colt 小马 <br>刚生出的马管不住
mulish||[`mjulIʃ; ˋmju:liʃ]|||mul.ish<br>[`mjulIʃ; ˋmju:liʃ]<br>形容词<br>似骡的,倔强的,顽固的<br>副词<br>~.ly<br>名词<br>~.ness<br>mule骡子
combustible|[sound:31e0368a81d97ce5da998f2d9b201f44.mp3]|/kəmˈbʌstəbl/|<img src="56bcae1307067807b5d660a5c0f3636f.jpg"></img>|These logs are easily <b>combustible</b>, so you can start a fire with them.|adj. 易燃的；易激动的；  n. 可燃物；易燃物<br>com <br> bust <- burst <- burn<br>-ible
combustion|[sound:d1d426596562ff6f2ca5268a6180507d.mp3]|/kəmˈbʌstʃən/|<img src="204c73472971e3926bcde7337638384a.jpg"></img>|<b>Combustion</b> cannot occur without oxygen.|n. 燃烧 <br>com <br> bust <- burst <- burn
spontaneous|[sound:ffa5636edda0e91df6954231f9b4bcdf.mp3]|/spɑːnˈteɪniəs/|<img src="23e2260f3329424a9dabf07dce0d8ef5.jpg"></img>|Those girls are so <b>spontaneous</b>; you never know what they will do.|adj. 自发的，无意识的；自然的，天真率直的<br>spond = promise <br>-aneous adj.
inflammable|[sound:fc810f74a7ce885f5a485343d53b441c.mp3]|/ɪnˈflæməbl/|<img src="ae9d8866389c9f15708a374d0c90c982.jpg"></img>|Put your cigarette out! That oil is <b>inflammable</b>.|adj. 可燃的，易激怒的 <br> in- 加强 <br> flam 火
ignite|[sound:d775d7bebad737e5b59f81761626ddf9.mp3]|/ɪɡˈnaɪt/|<img src="52a736adc0e4f33a915dff483d4b0493.jpg"></img>|He <b>ignite</b>d the fuse of the cannon with a torch.|v. 发光，点燃，燃烧 <br> 想 一个night 点燃
commensurate|[sound:71f86c0bcfabd3ecd5b50a22d2871e90.mp3]|/kəˈmenʃərət/|<img src="853cf7355c19e397e7eff6d6092b1496.jpg"></img>|My salary is <b>commensurate</b> with my skill.|adj. 相称的，相应的；同量的；同样大小的 <b>com <br>mensur 尺寸 <br>-ate <br>共同的尺寸
tantamount|[sound:842ba1b0cf11b40763c55d5aa6629b03.mp3]|/ˈtæntəmaʊnt/|<img src="398dd2a9886927d6b0868108ae4940a0.jpg"></img>|These days, having lots of oil is <b>tantamount</b> to having lots of money.|adj. 与…相等的 <br>tant 和...一样多 <br> amount 数量
congruent|[sound:c0805f542440f88a367d96c8d484e91b.mp3]|/ˈkɑːŋɡruənt/|<img src="f4810d290b59374c2d0be3e32d986f89.jpg"></img>|The eight faces of a regular octahedron are all <b>congruent</b> to each other.|adj. 和谐一致的，全等的 <br> con- <br> gru <- agree <br> -ent <br>一起同意的
commemorate|[sound:12c7be698deb6857a7e684fffb632d66.mp3]|/kə'mɛməret/|<img src="729e3d34c8c768dfeed853f55ef139e0.jpg"></img>|We should do some interesting things to <b>commemorate</b> this rare moment!|vt. 纪念,庆祝<br>com <br>memor 记忆 memory
consummate|[sound:438fc8b089e081dd05c3830bc5bf0f73.mp3]|/ˈkɑːnsəmət/|<img src="d6d6a707598d1926823cd98022d087d9.jpg"></img>|Michael Jordan was the <b>consummate</b> all-star basketball player.|adj. 至上的，完美的；  v. 完成，使达到极点 <br>con <br> sum <- summit 顶点
complacent|[sound:d64bc7c433f0e83ed2428fa7289a84cd.mp3]|/kəmˈpleɪsnt/|<img src="873c1fc52608d54b56528197cd9e06a7.jpg"></img>|Your report card may be good, but don't get too <b>complacent</b>!.|adj. 自满的，得意的<br>com-<br> please ->plac 满足 <br>-ent <br>自己满意
complaisant|[sound:1eb3d52c7fbc74a6891aaa11fca724cb.mp3]|/kəmˈpleɪzənt/|<img src="ac255014ed588751f156cedd9475acd0.jpg"></img>|I'm fairly <b>complaisant</b> - I'll do what it takes to make you happy, within reason.|adj. 彬彬有礼的，殷勤的，柔顺的<br>com-<br> please ->plais 满足 <br>使别人满意
conciliate|[sound:16ffd772ba0972e153774ae23e8e8670.mp3]|/kənˈsɪlieɪt/|<img src="f1def0cc935707aa96e76e1b5b18051b.jpg"></img>|I <b>conciliate</b>d the crying child by rubbing his head.|v. 安抚，调和 <br>cili <- call <br> 大家一起给你打电话安抚你
conciliation||/kənˌsɪliˈeɪʃn/|<img src="4f2fb06a9bbb97ae7e1ff8de1ba275fa.jpg"></img>|The <b>conciliation</b> has made the two people become friends again as before.|n. 调节，安抚，怀柔<br>cili <- call <br> 大家一起给你打电话安抚你
reconcile|[sound:3dd1a9cd84a12fa505e3e8171fbeb9a7.mp3]|/ˈrekənˌsaɪl/|<img src="76a4ae9d283962a2ecb5bf6b9a4e9613.jpg"></img>|We've fought for a while, so let us <b>reconcile</b>.|vt. 使和解<br>re- 再<br>cili <- call <br> 再一次一起说话
supercilious|[sound:9cb513dfcf2a35b6c0b4d472e1331930.mp3]|/ˌsuːpərˈsɪliəs/|<img src="e5201ed9bd833a424ef24deac50899bc.jpg"></img>|He has a <b>supercilious</b> contempt for those he regards as beneath him.|adj. 目中无人的，高傲的<br>cili <- call<br> 取代别人大喊大叫
condiment|[sound:40e5ee5c073e4e5c11f90e821825b547.mp3]|/ˈkɑːndɪmənt/|<img src="b88c6880a6145a4540d6b065dcdb3b17.jpg"></img>|Ketchup is a good <b>condiment</b> to put on a hamburger.|n. 调味品，佐料<br> cond = hide <br> 藏在菜里
seasoning|[sound:ba015a2f1f005c276f635d924ee1036f.mp3]|/ˈsiːzənɪŋ/|<img src="b600bd6a6655a6efa627ba2122e0d83d.jpg"></img>|The meal we are preparing will use a lot of <b>seasoning</b> and peppers.|n. 调味品，佐料，风干，增添趣味的东西
recondite|[sound:ba3005e65571d50490b44819b7671deb.mp3]|/ˈrekəndaɪt/|<img src="13204db3aa7b776ba6a6d1bc998e8fa5.jpg"></img>|He stayed up late studying <b>recondite</b> legal theories no-one else knew or cared about.|adj. 深奥的，隐藏的，不为人知的<br> re 再<br> cond = hide 
confide|[sound:057b566ebd4a5669d9874b9e0011d4cd.mp3]|/kənˈfaɪd/|<img src="2dca1d0ff841cfaf97286f58a5e4d771.jpg"></img>|I can <b>confide</b> in her because she's my best friend.|v. 倾诉；委托；信赖<br>fid = to believe
confidant|[sound:fe02e12d6e50fa619b0f73f996f36e19.mp3]|/ˈkɑnfɪˌdɑnt/|<img src="46534abbc701b71a95835fa4d7884f5e.jpg"></img>|Every girl needs a <b>confidant</b>.|n. 密友<br>fid = to believe <br> -ant 人
confident|[sound:0712afcf8e212efc1a352f8e144028b5.mp3]|/ˈkɑːnfɪdənt/|<img src="07cef2b789ae5552fb4b78a4804815c8.jpg"></img>|The girl was <b>confident</b> that she could defeat all the other players.|n. 知己, 心腹  adj. 确信的, 深信的, 自信的；自以为是的<br>fid = to believe
diffident|[sound:dcc78ed4274d071df3fc08bcc92d9ad2.mp3]|/ˈdɪfɪdənt/|<img src="e68fdb62a3c289faa8c9071851631d18.jpg"></img>|My daughter's a little <b>diffident</b> sometimes, but she is very friendly once you get to know her.|adj. 羞怯的，缺乏自信的，谦虚谨慎的<br>di <- dis = not<br>fid = to believe
fidelity|[sound:193ae8a6e213808022774444e3903248.mp3]|/fɪˈdeləti/|<img src="308bc7fbe390ae7ee26af0f6c750241f.jpg"></img>|Dogs usually have lots of <b>fidelity</b> towards their masters.|n. 忠诚；逼真度, 保真度<br>fide = to believe
perfidious|[sound:6f450c6debf241ec9393c74d2c867a68.mp3]|/pərˈfɪdiəs/|<img src="d163914c253630ad154fa60f7faaec4b.jpg"></img>|Her boyfriend is so <b>perfidious</b>; of course he is seeing other women.|adj. 不忠的，背信弃义的<br>per- away <br>fid = to believe
defy|[sound:7a1fe57cd8d563e156d556ce1b39fc69.mp3]|/dɪˈfaɪ/|<img src="0cee65f091cc394f972f9ac2e92c3533.jpg"></img>|Parking in front of a 'No Parking' sign is clearly <b>defy</b>ing the law.|v. 违抗；使成为不可能；违背；赌……也不能<br>fid->fy = to believe
defiant||[dI`faIənt; diˋfaiənt]|||de.fi.ant<br>[dI`faIənt; diˋfaiənt]<br>《defy 的形容词》<br>形容词<br>反抗 [挑战] 性的,挑衅的; 傲慢的<br>a ~ stare<br>挑衅的瞪视<br>副词<br>~.ly<br>fid->fy = to believe
defiance|[sound:60bd202a84ffd2ee8fca1a5b1e63761b.mp3]|/dɪˈfaɪəns/|<img src="eab3f4374c68d8e012383a2db3a191b3.jpg"></img>|The girl has a lot of <b>defiance</b> in her!|n. 蔑视；反抗；挑战<br>fid->fy = to believe
restrict|[sound:030a50aedc12967ca2886d89ef1fa68b.mp3]|/rɪˈstrɪkt/|<img src="8c420151c9c9f2a05b933f6b9008b0e4.jpg"></img>|All students are <b>restrict</b>ed from entering that room.|vt. 限制, 约束<br>strict/strain tighten
constrict|[sound:aaf79f3b69be998762467968c8bb93cc.mp3]|/kənˈstrɪkt/|<img src="e2e7fa047c743ae7ffa36fec15ecb072.jpg"></img>|The rope <b>constrict</b>s her movement.|v. 约束，收缩，妨碍<br>strict/strain tighten
astrict||[ə`strIkt; əˋstrikt]|||as.trict<br>[ə`strIkt; əˋstrikt]<br>及物动词<br>(-tricted,-tricting,-tricts)<br>1 束缚; 限制; (尤指在道德或法律上) 约束<br>1 使收缩; 使便秘<br>strict/strain tighten
constrain|[sound:12e13065744054ddb5dbd8adaf5986ae.mp3]|/kənˈstreɪn/|<img src="fa78e0dcdc3560df501cfdfa2caef7e2.jpg"></img>|He likes the girl, but he is <b>constrain</b>ed by his two friends.|vt. 约束；强迫；限制；克制<br>strict/strain tighten
restrain|[sound:f8e9320ecd2819fdebd02bb629bfe51a.mp3]|/rɪˈstreɪn/|<img src="24da144d801d0ac87ab8451984406265.jpg"></img>|He tried to <b>restrain</b> it, but it's insane.|vt. 制止<br>strict/strain tighten
compress|[sound:e7ab6a5632c156e63a5fe8d654096ae3.mp3]|/kəmˈpres/|<img src="51fcafe5c5296ae079adb05d5c448159.jpg"></img>|The steamroller <b>compress</b>es asphalt, so the road is flat.|v. 压紧，压缩
oppress|[sound:9673fea4d17917057bf78e475d0d03fb.mp3]|/əˈpres/|<img src="dd8278f210d5a4a84ce68d574ea39e06.jpg"></img>|The strong often <b>oppress</b> the weak.|vt. 压迫；压制；虐待；欺侮；使(心情等)沉重；使烦恼<br>op- 加强<br>press 压
suppress|[sound:eb09d51c430fce2afd05a51fd105c544.mp3]|/səˈpres/|<img src="7763c87f82125fa10425c6b250d4144e.jpg"></img>|<b>Suppress</b> your laughter! It's not funny when the teacher's pants fall down!|v. 镇压；禁止发表；抑制（感情等）；阻止…的生长<br>sup <- sub <br>press 压
repress|[sound:0821e4aacdb62674754e86159fd323ca.mp3]|/rɪˈpres/|<img src="9091d226ebf59d7ec66f567ff25cf506.jpg"></img>|Many people <b>repress</b> their political opinions for fear of their government.|vt. 抑制；镇压；约束<br>re- back <br>press 压
contiguity||[ˌkɑntI`gjuətI; ˌkɒntiˋ^ju:əti]|||con.ti.gu.i.ty<br>[ˌkɑntI`gjuətI; ˌkɒntiˋ^ju:əti]<br>不可数名词<br>接近; 接触; 邻接<br>in ~ with<br>? 与…接近 <br> contiguity of A and B <br>tig <- tact/tang = to touch
tact|[sound:cdc431ce44b2fd06da6388acdd5c0471.mp3]|/tækt/|<img src="340cd75e36ba7173f310dfc20f9bd6b7.jpg"></img>|That little monk is famous for handling problems with <b>tact</b>.|n. 机智，得体，老练，圆滑；  v. 对（刺激）操作性应答，（以言语或声音）操作性应答<br>tig <- tact/tang = to touch
intact|[sound:386b7b2bda8f73c4c5ec5e8d0db92b02.mp3]|/ɪnˈtækt/|<img src="06134de55ee7f0391ba7276a57c5439e.jpg"></img>|After lighting all the matches but one, we only have one <b>intact</b> match left.|adj. 原封未动的，未受损的，完整无缺的<br>tig <- tact/tang = to touch
tangle|[sound:53324e684bc322a1374bad29854f8804.mp3]|/ˈtæŋɡl/|<img src="18b509be9f0d381ad488ca0258cc3fb3.jpg"></img>|The woman used her magic power to <b>tangle</b> up the man.|v. （使）缠结；（使）乱作一团；  n. 纠缠；纠结；复杂的问题；困惑<br>tig <- tact/tang = to touch<br>entangle = tangle
tangible|[sound:23d37a0f66b20151750f452b64aab4be.mp3]|/ˈtændʒəbl/|<img src="e4581f05c99223788b18cfd3cd77424b.jpg"></img>|The mythical animal became <b>tangible</b>.|adj. 摸得着的<br>tig <- tact/tang = to touch
contagion||[kən`tєdʒən; kənˋtєidʒən]|||con.ta.gion<br>[kən`tєdʒən; kənˋtєidʒən]<br>名词<br>1 (U) (疾病的) 接触传染,触染<br>Smallpox spreads by ~.<br>天花由接触传染而蔓延<br>2 (C)接触传染病<br>3 (C) (由一人传至另一人的) 不良影响,蔓延[of]<br>a ~ of fear<br>恐惧的蔓延<br>tig <- tact/tang = to touch
proximity|[sound:422d0d423988c41160432947d74d8010.mp3]|/prɑːkˈsɪməti/|<img src="f93604f760126786046253659498bb33.jpg"></img>|They discussed their work in close <b>proximity</b> to each other.|n. 接近，邻近<br> ~ to<br> approximately 大约
approximately|[sound:3b42e9429350e648d99b069f3d2e87af.mp3]|/əˈprɑːksɪmətli/|<img src="fc5b669c9319cc59d6c72dc7edacbe17.jpg"></img>|Pi is <b>approximately</b> equal to 3.1415.|adv. 近似地，大约
contumacy||[`kɑntjJməsI, `kɑntJ-; ˋkɒntjuməsi]|||con.tu.ma.cy<br>[`kɑntjJməsI, `kɑntJ-; ˋkɒntjuməsi]<br>不可数名词<br>(文语) (尤指对法院命令等)<br>拒不服从,抗命,顽抗; 藐视法庭<br>tum = bloated 肿胀<br>自我膨胀
contumely||[`kɑntjJməlI, `kɑntJ-, kən`tjuməlI, -`tu-; ˋkɒntjumili]|||con.tu.me.ly<br>[`kɑntjJməlI, `kɑntJ-, kən`tjuməlI, -`tu-; ˋkɒntjumili]<br>名词<br>(文语)<br>1 (言语、态度等的) 傲慢无礼<br>2 侮辱,傲慢无礼的言行<br>tum = bloated 肿胀<br>自我膨胀
tumid||[`tumId, `tju-; ˋtju:mid]|||tu.mid<br>[`tumId, `tju-; ˋtju:mid]<br>形容词<br>1 肿胀的,隆起的<br>2 夸张的,浮夸的,华而不实的<br>tum = bloated 肿胀
tumult|[sound:9de4c2503f73debf2a5a70fd3ef79c65.mp3]|/ˈtuːmʌlt/|<img src="7dc58a19b99f86caf3ebf90c9ffae324.jpg"></img>|There was a sudden <b>tumult</b> among the pigs when they realized they were going to be killed.|n. 骚动，骚乱，吵闹，激动<br>tum = bloated 肿胀 <br> ~ out
conundrum|[sound:99579d1de62109bd9e61f77c0c9dc733.mp3]|/kəˈnʌndrəm/|<img src="a594a9f4173414ad7ea3e18aa63f4b4f.jpg"></img>|How to reach the other side of the maze is really a <b>conundrum</b>.|n. 谜语，难题<br>con un<-in drum 一起蒙在鼓里
enigma|[sound:0af7b87290aac966906b8ca92dcce147.mp3]|/ɪ'nɪgmə/|<img src="5df2ab9296b276c8eb70f1ab648fdba4.jpg"></img>|For me this is an <b>enigma</b>.|n. 谜, 闷葫芦，哑谜
enigmatic|[sound:18f888800d0ee88d2c92376f46044b15.mp3]|/ˌenɪɡˈmætɪk/|<img src="cce4fe3240f724204600c0c93bd934c3.jpg"></img>|Who is that <b>enigmatic</b> man in the mask?|adj. 神秘的，高深莫测的，谜一般的
convict|[sound:9c949cb52d35b2f2e5b4feca76cd1f49.mp3]|/ˈkɑːnvɪkt/|<img src="c3335d893a1a6f4665579f42eb0459b0.jpg"></img>|The two <b>convict</b>s in prison had to wear uniforms.|n. 犯人；  v. （经审讯）证明…有罪<br>vict/vinc = to conquer 征服
conviction|[sound:11909a858f010165a4ec7131147f4dc9.mp3]|/kənˈvɪkʃ(ə)n/|<img src="09892538952f7c223eac25ca49274ece.jpg"></img>|After his <b>conviction</b> he was handcuffed and taken off to jail.|n. 定罪；信服；坚强信念<br>vict/vinc = to conquer 征服
evict|[sound:084d15fa9cad3d2ceeed57d6496f90a7.mp3]|/ɪˈvɪkt/|<img src="8d5ac56507ba8d67628cbc0b7a556849.jpg"></img>|I've been <b>evict</b>ed from my house after not paying rent.|v. 驱逐，逐出<br>vict/vinc = to conquer 征服
evince|[sound:91d0fa397d162183223feb853dfa1954.mp3]|/ɪˈvɪns/|<img src="2653afe615d136d030fa7bff87769925.jpg"></img>|As in the old fairy tale, the businessman's long nose <b>evince</b>d his dishonesty.|v. 表明，表示，引起<br>vict/vinc = to conquer 征服
convince|[sound:d16418e97f7ee49904e931e7ef0ed7db.mp3]|/kənˈvɪns/|<img src="0c909dee5076ce1c659af2904c6b296d.png"></img>|We try to <b>convince</b> the prince.|vt. 使信服<br>vict/vinc = to conquer 征服
invincible|[sound:d1e8bd3f049d4a8e9969af4d92fd8c0d.mp3]|/ɪn'vɪnsəbl/|<img src="3e76b2ded630654405e19cebcde36325.jpg"></img>|An <b>invincible</b> man can also be kinda lonely.|adj. 无敌的；不能征服的<br>vict/vinc = to conquer 征服
vanquish|[sound:dd9050c320357dac2fd52200032c2634.mp3]|/ˈvæŋkwɪʃ/|<img src="a618477ddb9c7ebdac4483f3857bfa46.jpg"></img>|Both the fighters fought hard to <b>vanquish</b> each other.|v. 征服，击败<br>vict/vinc ->vanqu = to conquer 征服
acquit||/əˈkwɪt/|<img src="9cd2597644f93a5b0a851658380e5d90.jpg"></img>|The court <b>acquit</b>ted the man of his crime and said he was innocent.|v. 宣布无罪，开释，原谅，表现
convivial|[sound:4d3364c2098fa038df449c85243b61aa.mp3]|/kənˈvɪviəl/|<img src="26977a498f784649ba633afa2b86fbf1.jpg"></img>|There was an especially <b>convivial</b> atmosphere at our family dinner.|adj. 欢乐的；欢宴的；酒宴的<br>vivi/vit = life/live<br>一起生活的
vitamin|[sound:36154d2a3fd3c3fec04e2ce63e5f00a8.mp3]|/ˈvaɪtəmɪn/|<img src="74e223b8c7703995fbdba44fba888b40.jpg"></img>|Take a <b>vitamin</b> with your insulin.|c. 维生素,维他命<br>vivi/vit = life/live
vivacious|[sound:b340f7d7c743e7f0453d3a205fed5a97.mp3]|/vɪˈveɪʃəs/|<img src="88a3dbb67214dcd203030b9f3b169022.jpg"></img>|She is a very <b>vivacious</b>, energetic young woman.|adj. 活泼的，快活的（多指女性）<br>vivi/vit = life/live<br>-acious ...很多的
vivify||[`vIvəˌfaI; ˋvivifai]|||viv.i.fy<br>[`vIvəˌfaI; ˋvivifai]<br>《vivid 的动词》<br>及物动词<br>赋与…生命[生气]; 使…生动[活泼]<br>vivi/vit = life/live
vital|[sound:e84c620628f67f5f5572c8116524ed58.mp3]|/ˈvaɪt(ə)l/|<img src="ce550b79cf82b3ec366379c5a887f338.jpg"></img>|Exercising is <b>vital</b> for health.|n. 重要器官；要害;  adj. 生命所必需的；有生命力的；必不可少的；生命攸关的；致命的<br>vivi/vit = life/live
vitality|[sound:076546f1cca184da3a601f49eeac91d4.mp3]|/vaɪ'tæləti/|<img src="53e6e56a56b167e61d3f9eb77ba6cdc3.jpg"></img>|Just one shot! And he's no longer tired but bursting with <b>vitality</b> and health instead.|n. 活力，生气；生命力，生动性<br>vivi/vit = life/live
vitalize||[`vaItlˌaIz; ˋvaitəlaiz]|||vi.tal.ize<br>[`vaItlˌaIz; ˋvaitəlaiz]<br>《vital 的动词》<br>及物动词<br>1 使…有生命; 使…有活力<br>2 使…有生机,使…有精神<br>名词<br>vi.tal.i.za.tion<br>[9vaItElI`zeFEn; 9vaitElai5zeiFn]<br>vivi/vit = life/live<br>-ize v.
corporate|[sound:72be5ec48c807f92aa53bf61ac8eb97f.mp3]|/ˈkɔrp(ə)rət/|<img src="c48aac01278d7a96ef00104cb601d6af.jpg"></img>|It is unfortunate that my work is <b>corporate</b>.|adj. 公司的<br>corporation 公司 <br>corpor = body
incorporate|[sound:43be7a2181963d06f2989d22ac87c475.mp3]|/ɪnˈkɔːrpəreɪt/|<img src="4c4deb9e67ebb1b616b66d632d8ddbbd.jpg"></img>|This meal <b>incorporate</b>s many different types of food.|v. 包含，加上，吸收，使并入<br>corpor = body
corpulent|[sound:def84ab20efe8940b685855fdff17cc4.mp3]|/ˈkɔːrpjələnt/|<img src="9f6d47029c7a745e07fb54c2f70016fe.jpg"></img>|Women disliked his <b>corpulent</b> body.|adj. 肥胖<br>corpor = body
corporeal|[sound:6fff3dc68b92701d7c5549efab31f46e.mp3]|/kɔːrˈpɔːriəl/|<img src="3da7f07aef8ae119a04529c55ff456c7.jpg"></img>|Ghosts and spirits envy humans their <b>corporeal</b> form.|adj. 物质的，有形的，肉体的<br>corpor = body
corpse|[sound:64108bc76e16518a4d09255a03fa8144.mp3]|/kɔːrps/|<img src="62b1670acff44badca86b02dc9417a98.jpg"></img>|They stare at the <b>corpse</b> covered by a white sheet.|n. 尸体，被废弃的东西<br>corpor = body
